App ID,App names,Country,Date,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate,Ad Exchange CPC ($),Ad Exchange delivery rate
com.calendar.schedule.taskapp,Calender,Brazil,3/17/25,99,39,39.39%,1.20,12.15,153,100.00%,0.03,64.71%
com.calendar.schedule.taskapp,Calender,Brazil,3/18/25,210,59,28.10%,3.90,18.59,426,100.00%,0.07,49.30%
com.calendar.schedule.taskapp,Calender,Brazil,3/19/25,213,54,25.35%,3.88,18.23,420,100.00%,0.07,50.71%
com.calendar.schedule.taskapp,Calender,Brazil,3/20/25,203,46,22.66%,2.85,14.03,495,99.80%,0.06,41.01%
com.calendar.schedule.taskapp,Calender,Brazil,3/21/25,144,27,18.75%,1.88,13.09,360,99.17%,0.07,40.00%
com.calendar.schedule.taskapp,Calender,Brazil,3/22/25,117,15,12.82%,1.47,12.58,346,99.71%,0.10,33.82%
com.calendar.schedule.taskapp,Calender,Brazil,3/23/25,221,52,23.53%,2.90,13.14,573,99.30%,0.06,38.57%
com.calendar.schedule.taskapp,Calender,Brunei,3/14/25,2,1,50.00%,0.13,64.09,3,100.00%,0.13,66.67%
com.calendar.schedule.taskapp,Calender,Bulgaria,3/18/25,8,0,0.00%,0.05,6.11,15,100.00%,0.00,53.33%
com.calendar.schedule.taskapp,Calender,Bulgaria,3/19/25,3,1,33.33%,0.05,17.14,11,100.00%,0.05,27.27%
com.calendar.schedule.taskapp,Calender,Bulgaria,3/20/25,0,0,0.00%,0.00,0.00,3,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Bulgaria,3/22/25,11,3,27.27%,0.12,10.58,19,100.00%,0.04,57.89%
com.calendar.schedule.taskapp,Calender,Burkina Faso,3/14/25,15,7,46.67%,0.15,10.25,31,83.87%,0.02,48.39%
com.calendar.schedule.taskapp,Calender,Burkina Faso,3/18/25,4,0,0.00%,0.02,5.84,11,90.91%,0.00,36.36%
com.calendar.schedule.taskapp,Calender,Burkina Faso,3/19/25,9,0,0.00%,0.03,3.65,13,100.00%,0.00,69.23%
com.calendar.schedule.taskapp,Calender,Burkina Faso,3/20/25,8,3,37.50%,0.03,4.24,19,94.74%,0.01,42.11%
com.calendar.schedule.taskapp,Calender,Burkina Faso,3/21/25,1,0,0.00%,0.00,2.11,4,100.00%,0.00,25.00%
com.calendar.schedule.taskapp,Calender,Burkina Faso,3/22/25,0,0,0.00%,0.00,0.00,3,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Burkina Faso,3/23/25,0,0,0.00%,0.00,0.00,3,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Burundi,3/18/25,7,1,14.29%,0.02,2.57,15,100.00%,0.02,46.67%
com.calendar.schedule.taskapp,Calender,Cameroon,3/14/25,7,1,14.29%,0.02,3.03,14,100.00%,0.02,50.00%
com.calendar.schedule.taskapp,Calender,Cameroon,3/17/25,0,0,0.00%,0.00,0.00,1,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Cameroon,3/18/25,3,2,66.67%,0.02,5.64,16,100.00%,0.01,18.75%
com.calendar.schedule.taskapp,Calender,Cameroon,3/19/25,1,0,0.00%,0.01,10.09,8,100.00%,0.00,12.50%
com.calendar.schedule.taskapp,Calender,Canada,3/14/25,16,4,25.00%,0.77,48.19,24,100.00%,0.19,66.67%
com.calendar.schedule.taskapp,Calender,Canada,3/15/25,38,11,28.95%,1.69,44.36,57,98.25%,0.15,66.67%
com.calendar.schedule.taskapp,Calender,Canada,3/16/25,15,3,20.00%,1.39,92.66,23,100.00%,0.46,65.22%
com.calendar.schedule.taskapp,Calender,Canada,3/17/25,8,2,25.00%,1.19,149.08,15,100.00%,0.60,53.33%
com.calendar.schedule.taskapp,Calender,Canada,3/18/25,18,1,5.56%,1.74,96.68,37,97.30%,1.74,48.65%
com.calendar.schedule.taskapp,Calender,Canada,3/19/25,28,3,10.71%,1.47,52.63,64,90.62%,0.49,43.75%
com.calendar.schedule.taskapp,Calender,Canada,3/20/25,54,10,18.52%,5.96,110.33,120,98.33%,0.60,45.00%
com.calendar.schedule.taskapp,Calender,Canada,3/21/25,34,8,23.53%,2.43,71.62,66,98.48%,0.30,51.52%
com.calendar.schedule.taskapp,Calender,Canada,3/22/25,54,9,16.67%,2.62,48.51,122,95.90%,0.29,44.26%
com.calendar.schedule.taskapp,Calender,Canada,3/23/25,64,13,20.31%,5.24,81.81,152,98.68%,0.40,42.11%
com.calendar.schedule.taskapp,Calender,Chile,3/14/25,12,2,16.67%,0.11,8.91,20,100.00%,0.05,60.00%
com.calendar.schedule.taskapp,Calender,Chile,3/15/25,19,2,10.53%,0.34,17.81,31,100.00%,0.17,61.29%
